Gene Name (Hs),Functional Category,Included in which metabolic enzyme/transporter sets (please add your name if you are adding a new gene)
AOC3,Multipurpose,In RP
ARSA,Multipurpose,In RP
ARSB,Multipurpose,In RP
ARSD,Multipurpose,In RP
ARSE,Multipurpose,In RP
ARSF,Multipurpose,In RP
ARSG,Multipurpose,In RP
ARSH,Multipurpose,In RP
ARSI,Multipurpose,In RP
ARSJ,Multipurpose,In RP
ARSK,Multipurpose,In RP
AUH,Multipurpose,In RP
CA1,Multipurpose,In RP
CA10,Multipurpose,In RP
CA11,Multipurpose,In RP
CA12,Multipurpose,In RP
CA13,Multipurpose,In RP
CA14,Multipurpose,In RP
CA2,Multipurpose,In RP
CA3,Multipurpose,In RP
CA4,Multipurpose,In RP
CA5A,Multipurpose,In RP
CA5B,Multipurpose,In RP
CA6,Multipurpose,In RP
CA7,Multipurpose,In RP
CA8,Multipurpose,In RP
CA9,Multipurpose,In RP
CBR1,Multipurpose,In RP
CBR3,Multipurpose,In RP
CBR4,Multipurpose,In RP
DLD,Multipurpose,In RP
GGH,Multipurpose,In RP
GGT1,Multipurpose,In RP
GGT2,Multipurpose,In RP
GGT5,Multipurpose,In RP
GGT6,Multipurpose,In RP
GGT7,Multipurpose,In RP
GGTLC1,Multipurpose,In RP
GGTLC2,Multipurpose,In RP
GOT1,Multipurpose,In RP
GOT1L1,Multipurpose,In RP
GOT2,Multipurpose,In RP
GSTZ1,Multipurpose,In RP
HMGCL,Multipurpose,In RP
HMGCLL1,Multipurpose,In RP
LPPR4,Multipurpose,In RP
MAK10,Multipurpose,In RP
MAOA,Multipurpose,In RP
MAOB,Multipurpose,In RP
NAT1,Multipurpose,In RP
NAT10,Multipurpose,In RP
NAT11,Multipurpose,In RP
NAT12,Multipurpose,In RP
NAT13,Multipurpose,In RP
NAT14,Multipurpose,In RP
NAT15,Multipurpose,In RP
NAT2,Multipurpose,In RP
NAT5,Multipurpose,In RP
NAT6,Multipurpose,In RP
NAT8,Multipurpose,In RP
NAT8B,Multipurpose,In RP
NAT8L,Multipurpose,In RP
NAT9,Multipurpose,In RP
POR,Multipurpose,In RP
ZADH2,Multipurpose,In RP
BST1,NAD,In RP
C9ORF95,NAD,In RP
DUOX1,NAD,In RP
DUOX2,NAD,In RP
NADK,NAD,In RP
NADSYN1,NAD,In RP
NAPRT1,NAD,In RP
NMNAT1,NAD,In RP
NMNAT2,NAD,In RP
NMNAT3,NAD,In RP
NNMT,NAD,In RP
NNT,NAD,In RP
NOX1,NAD,In RP
NOX3,NAD,In RP
NOX4,NAD,In RP
NOX5,NAD,In RP
NQO1,NAD,In RP
NQO2,NAD,In RP
QPRT,NAD,In RP
ABAT,Neurotransmitter,In RP
ACHE,Neurotransmitter,In RP
CHAT,Neurotransmitter,In RP
CHDH,Neurotransmitter,In RP
COMT,Neurotransmitter,In RP
COMTD1,Neurotransmitter,In RP
DBH,Neurotransmitter,In RP
DDC,Neurotransmitter,In RP
NAALAD2,Neurotransmitter,In RP
NAALADL1,Neurotransmitter,In RP
NAALADL2,Neurotransmitter,In RP
PNMT,Neurotransmitter,In RP
SRR,Neurotransmitter,In RP
TH,Neurotransmitter,In RP
TPH1,Neurotransmitter,In RP
TPH2,Neurotransmitter,In RP
BPNT1,Nucleotide,In RP
CANT1,Nucleotide,In RP
DCK,Nucleotide,In RP
ENPP1,Nucleotide,In RP
ENPP2,Nucleotide,In RP
ENPP3,Nucleotide,In RP
ENPP4,Nucleotide,In RP
ENPP5,Nucleotide,In RP
ENPP6,Nucleotide,In RP
ENPP7,Nucleotide,In RP
ENTPD1,Nucleotide,In RP
ENTPD2,Nucleotide,In RP
ENTPD3,Nucleotide,In RP
ENTPD4,Nucleotide,In RP
ENTPD5,Nucleotide,In RP
ENTPD6,Nucleotide,In RP
ENTPD7,Nucleotide,In RP
ENTPD8,Nucleotide,In RP
ITPA,Nucleotide,In RP
NME1,Nucleotide,In RP
NME2,Nucleotide,In RP
NME3,Nucleotide,In RP
NME4,Nucleotide,In RP
NME5,Nucleotide,In RP
NME6,Nucleotide,In RP
NME7,Nucleotide,In RP
NT5C,Nucleotide,In RP
NT5C1A,Nucleotide,In RP
NT5C1B,Nucleotide,In RP
NT5C2,Nucleotide,In RP
NT5C3,Nucleotide,In RP
NT5C3L,Nucleotide,In RP
NT5DC1,Nucleotide,In RP
NT5DC2,Nucleotide,In RP
NT5DC3,Nucleotide,In RP
NT5DC4,Nucleotide,In RP
NT5E,Nucleotide,In RP
NT5M,Nucleotide,In RP
NUDT1,Nucleotide,In RP
NUDT10,Nucleotide,In RP
NUDT11,Nucleotide,In RP
NUDT12,Nucleotide,In RP
NUDT13,Nucleotide,In RP
NUDT14,Nucleotide,In RP
NUDT15,Nucleotide,In RP
NUDT16,Nucleotide,In RP
NUDT16L1,Nucleotide,In RP
NUDT17,Nucleotide,In RP
NUDT18,Nucleotide,In RP
NUDT19,Nucleotide,In RP
NUDT2,Nucleotide,In RP
NUDT21,Nucleotide,In RP
NUDT22,Nucleotide,In RP
NUDT3,Nucleotide,In RP
NUDT4,Nucleotide,In RP
NUDT5,Nucleotide,In RP
NUDT6,Nucleotide,In RP
NUDT7,Nucleotide,In RP
NUDT8,Nucleotide,In RP
NUDT9,Nucleotide,In RP
RRM1,Nucleotide,In RP
RRM2,Nucleotide,In RP
RRM2B,Nucleotide,In RP
TGDS,Nucleotide Sugar,In RP
UGDH,Nucleotide Sugar,In RP
UXS1,Nucleotide Sugar,In RP
A1CF,Other,In RP
ACN9,Other,In RP
AOAH,Other,In RP
APEH,Other,In RP
AS3MT,Other,In RP
BPHL,Other,In RP
CMBL,Other,In RP
CNDP1,Other,In RP
CNDP2,Other,In RP
DDHD1,Other,In RP
DDHD2,Other,In RP
ENOPH1,Other,In RP
ENOSF1,Other,In RP
EPX,Other,In RP
ESD,Other,In RP
FXN,Other,In RP
GDPD1,Other,In RP
GDPD2,Other,In RP
GDPD3,Other,In RP
GDPD4,Other,In RP
GDPD5,Other,In RP
GLYAT,Other,In RP
GLYATL1,Other,In RP
GLYATL2,Other,In RP
GNMT,Other,In RP
HISPPD1,Other,In RP
HISPPD2A,Other,In RP
IAH1,Other,In RP
LIAS,Other,In RP
LIPT1,Other,In RP
MOSC1,Other,In RP
MOSC2,Other,In RP
MPO,Other,In RP
NIT1,Other,In RP
NIT2,Other,In RP
PAM,Other,In RP
PON1,Other,In RP
PON2,Other,In RP
PON3,Other,In RP
PPA1,Other,In RP
PPA2,Other,In RP
PTER,Other,In RP
THEM2,Other,In RP
THEM4,Other,In RP
THEM5,Other,In RP
UEVLD,Other,In RP
WWOX,Other,In RP
GLTP,Other,In RP
CTNS,Other Transport,In RP
DIRC2,Other Transport,In RP
FLVCR1,Other Transport,In RP
FLVCR2,Other Transport,In RP
MCART1,Other Transport,In RP
MCART2,Other Transport,In RP
MCART6,Other Transport,In RP
MFSD1,Other Transport,In RP
MFSD10,Other Transport,In RP
MFSD11,Other Transport,In RP
MFSD2,Other Transport,In RP
MFSD3,Other Transport,In RP
MFSD4,Other Transport,In RP
MFSD5,Other Transport,In RP
MFSD7,Other Transport,In RP
MFSD8,Other Transport,In RP
MFSD9,Other Transport,In RP
STRA6,Other Transport,In RP
TAP1,Other Transport,In RP
TAP2,Other Transport,In RP
TMCO3,Other Transport,In RP
TMEM104,Other Transport,In RP
TPCN1,Other Transport,In RP
TPCN2,Other Transport,In RP
DERA,Pentose Phosphate,In RP
G6PD,Pentose Phosphate,In RP
PGD,Pentose Phosphate,In RP
PGLS,Pentose Phosphate,In RP
RPE,Pentose Phosphate,In RP
RPIA,Pentose Phosphate,In RP
TALDO1,Pentose Phosphate,In RP
TKT,Pentose Phosphate,In RP
TKTL1,Pentose Phosphate,In RP
TKTL2,Pentose Phosphate,In RP
DCT,Pigment,In RP
DDT,Pigment,In RP
TYR,Pigment,In RP
TYRP1,Pigment,In RP
AMACR,Polyamine,In RP
AMD1,Polyamine,In RP
MTAP,Polyamine,In RP
ODC1,Polyamine,In RP
PAOX,Polyamine,In RP
SAT1,Polyamine,In RP
SAT2,Polyamine,In RP
SATL1,Polyamine,In RP
SMOX,Polyamine,In RP
SMS,Polyamine,In RP
SRM,Polyamine,In RP
ALAD,Porphyrin,In RP
ALAS1,Porphyrin,In RP
ALAS2,Porphyrin,In RP
BLVRA,Porphyrin,In RP
BLVRB,Porphyrin,In RP
CPOX,Porphyrin,In RP
FECH,Porphyrin,In RP
HMBS,Porphyrin,In RP
HMOX1,Porphyrin,In RP
HMOX2,Porphyrin,In RP
PPOX,Porphyrin,In RP
UROD,Porphyrin,In RP
UROS,Porphyrin,In RP
ALDH4A1,Proline,In RP
PRODH,Proline,In RP
PRODH2,Proline,In RP
PYCR1,Proline,In RP
PYCR2,Proline,In RP
PYCRL,Proline,In RP
MCEE,Propanoate,In RP
MUT,Propanoate,In RP
PCCA,Propanoate,In RP
PCCB,Propanoate,In RP
ATP5A1,Proton Transport,In RP
ATP5B,Proton Transport,In RP
ATP5C1,Proton Transport,In RP
ATP5C2,Proton Transport,In RP
ATP5D,Proton Transport,In RP
ATP5E,Proton Transport,In RP
ATP5F1,Proton Transport,In RP
ATP5G1,Proton Transport,In RP
ATP5G2,Proton Transport,In RP
ATP5G3,Proton Transport,In RP
ATP5H,Proton Transport,In RP
ATP5I,Proton Transport,In RP
ATP5J,Proton Transport,In RP
ATP5J2,Proton Transport,In RP
ATP5L,Proton Transport,In RP
ATP5L2,Proton Transport,In RP
ATP5O,Proton Transport,In RP
ATP5S,Proton Transport,In RP
ATP5SL,Proton Transport,In RP
ATP6,Proton Transport,In RP
ATP6AP1,Proton Transport,In RP
ATP6AP2,Proton Transport,In RP
ATP6V0A1,Proton Transport,In RP
ATP6V0A2,Proton Transport,In RP
ATP6V0A4,Proton Transport,In RP
ATP6V0B,Proton Transport,In RP
ATP6V0C,Proton Transport,In RP
ATP6V0D1,Proton Transport,In RP
ATP6V0D2,Proton Transport,In RP
ATP6V0E1,Proton Transport,In RP
ATP6V0E2,Proton Transport,In RP
ATP6V1A,Proton Transport,In RP
ATP6V1B1,Proton Transport,In RP
ATP6V1B2,Proton Transport,In RP
ATP6V1C1,Proton Transport,In RP
ATP6V1C2,Proton Transport,In RP
ATP6V1D,Proton Transport,In RP
ATP6V1E1,Proton Transport,In RP
ATP6V1E2,Proton Transport,In RP
ATP6V1F,Proton Transport,In RP
ATP6V1G1,Proton Transport,In RP
ATP6V1G2,Proton Transport,In RP
ATP6V1G3,Proton Transport,In RP
ATP6V1H,Proton Transport,In RP
HVCN1,Proton Transport,In RP
TCIRG1,Proton Transport,In RP
UCP1,Proton Transport,In RP
UCP2,Proton Transport,In RP
UCP3,Proton Transport,In RP
ADA,Purine,In RP
ADAD1,Purine,In RP
ADAD2,Purine,In RP
ADAL,Purine,In RP
ADK,Purine,In RP
ADSL,Purine,In RP
ADSS,Purine,In RP
ADSSL1,Purine,In RP
AK1,Purine,In RP
AK2,Purine,In RP
AK3,Purine,In RP
AK3L1,Purine,In RP
AK5,Purine,In RP
AK7,Purine,In RP
AMPD1,Purine,In RP
AMPD2,Purine,In RP
AMPD3,Purine,In RP
APRT,Purine,In RP
ATIC,Purine,In RP
CECR1,Purine,In RP
DGUOK,Purine,In RP
FHIT,Purine,In RP
GART,Purine,In RP
GDA,Purine,In RP
GMPR,Purine,In RP
GMPR2,Purine,In RP
GMPS,Purine,In RP
GUK1,Purine,In RP
HPRT1,Purine,In RP
IMPDH1,Purine,In RP
IMPDH2,Purine,In RP
NP,Purine,In RP
PAICS,Purine,In RP
PFAS,Purine,In RP
PPAT,Purine,In RP
PRPS1,Purine,In RP
PRPS1L1,Purine,In RP
PRPS2,Purine,In RP
PRPSAP1,Purine,In RP
PRPSAP2,Purine,In RP
XDH,Purine,In RP
CAD,Pyrimidine,In RP
CDA,Pyrimidine,In RP
CDADC1,Pyrimidine,In RP
CMPK1,Pyrimidine,In RP
CTPS,Pyrimidine,In RP
CTPS2,Pyrimidine,In RP
DCTD,Pyrimidine,In RP
DHODH,Pyrimidine,In RP
DPYD,Pyrimidine,In RP
DPYS,Pyrimidine,In RP
DPYSL2,Pyrimidine,In RP
DPYSL3,Pyrimidine,In RP
DPYSL4,Pyrimidine,In RP
DPYSL5,Pyrimidine,In RP
DTYMK,Pyrimidine,In RP
DUT,Pyrimidine,In RP
TK1,Pyrimidine,In RP
TK2,Pyrimidine,In RP
TYMP,Pyrimidine,In RP
TYMS,Pyrimidine,In RP
UCK1,Pyrimidine,In RP
UCK2,Pyrimidine,In RP
UCKL1,Pyrimidine,In RP
UMPS,Pyrimidine,In RP
UPB1,Pyrimidine,In RP
UPP1,Pyrimidine,In RP
UPP2,Pyrimidine,In RP
UPRT,Pyrimidine,In RP
AOX1,Reactive Oxygen,In RP
DDAH1,Reactive Oxygen,In RP
DDAH2,Reactive Oxygen,In RP
NOS1,Reactive Oxygen,In RP
NOS2,Reactive Oxygen,In RP
NOS3,Reactive Oxygen,In RP
CP,Redox,In RP
CRYZ,Redox,In RP
CRYZL1,Redox,In RP
CYB561,Redox,In RP
CYB5A,Redox,In RP
CYB5B,Redox,In RP
CYB5D1,Redox,In RP
CYB5D2,Redox,In RP
CYB5R1,Redox,In RP
CYB5R2,Redox,In RP
CYB5R3,Redox,In RP
CYB5R4,Redox,In RP
CYB5RL,Redox,In RP
CYBA,Redox,In RP
CYBASC3,Redox,In RP
CYBB,Redox,In RP
CYBRD1,Redox,In RP
DHRS1,Redox,In RP
DHRS11,Redox,In RP
DHRS12,Redox,In RP
DHRS13,Redox,In RP
DHRS2,Redox,In RP
DHRS3,Redox,In RP
DHRS4,Redox,In RP
DHRS4L1,Redox,In RP
DHRS4L2,Redox,In RP
DHRS7,Redox,In RP
DHRS7B,Redox,In RP
DHRS7C,Redox,In RP
DHRS9,Redox,In RP
DHRSX,Redox,In RP
DHTKD1,Redox,In RP
ENOX1,Redox,In RP
ENOX2,Redox,In RP
FDX1,Redox,In RP
FDX1L,Redox,In RP
FDXR,Redox,In RP
FOXRED1,Redox,In RP
FOXRED2,Redox,In RP
FRRS1,Redox,In RP
GLRX,Redox,In RP
GLRX2,Redox,In RP
GLRX3,Redox,In RP
GLRX5,Redox,In RP
GRXCR1,Redox,In RP
GRXCR2,Redox,In RP
ISCA1,Redox,In RP
ISCA1L,Redox,In RP
ISCA2,Redox,In RP
LPO,Redox,In RP
MICAL1,Redox,In RP
MICAL2,Redox,In RP
MICAL3,Redox,In RP
NDOR1,Redox,In RP
NMRAL1,Redox,In RP
OGFOD1,Redox,In RP
OGFOD2,Redox,In RP
OXA1L,Redox,In RP
PRDX1,Redox,In RP
PRDX2,Redox,In RP
PRDX3,Redox,In RP
PRDX4,Redox,In RP
PRDX5,Redox,In RP
PRDX6,Redox,In RP
PYROXD1,Redox,In RP
TXNRD1,Redox,In RP
TXNRD2,Redox,In RP
TXNRD3,Redox,In RP
PHGDH,Serine,In RP
PSAT,Serine,In RP
PSPH,Serine,In RP
ADCY1,Signalling,In RP
ADCY10,Signalling,In RP
ADCY2,Signalling,In RP
ADCY3,Signalling,In RP
ADCY4,Signalling,In RP
ADCY5,Signalling,In RP
ADCY6,Signalling,In RP
ADCY7,Signalling,In RP
ADCY8,Signalling,In RP
ADCY9,Signalling,In RP
C9ORF98,Signalling,In RP
CNP,Signalling,In RP
GUCY1A2,Signalling,In RP
GUCY1A3,Signalling,In RP
GUCY1B3,Signalling,In RP
GUCY2C,Signalling,In RP
GUCY2D,Signalling,In RP
GUCY2F,Signalling,In RP
NPR1,Signalling,In RP
NPR2,Signalling,In RP
NPR3,Signalling,In RP
OAS1,Signalling,In RP
OAS2,Signalling,In RP
OAS3,Signalling,In RP
OASL,Signalling,In RP
PDE10A,Signalling,In RP
PDE11A,Signalling,In RP
PDE12,Signalling,In RP
PDE1A,Signalling,In RP
PDE1B,Signalling,In RP
PDE1C,Signalling,In RP
PDE2A,Signalling,In RP
PDE3A,Signalling,In RP
PDE3B,Signalling,In RP
PDE4A,Signalling,In RP
PDE4B,Signalling,In RP
PDE4C,Signalling,In RP
PDE4D,Signalling,In RP
PDE5A,Signalling,In RP
PDE6A,Signalling,In RP
PDE6B,Signalling,In RP
PDE6C,Signalling,In RP
PDE6D,Signalling,In RP
PDE6G,Signalling,In RP
PDE6H,Signalling,In RP
PDE7A,Signalling,In RP
PDE7B,Signalling,In RP
PDE8A,Signalling,In RP
PDE8B,Signalling,In RP
PDE9A,Signalling,In RP
ACCN1,Small Molecule Transport,In RP
ACCN2,Small Molecule Transport,In RP
ACCN3,Small Molecule Transport,In RP
ACCN4,Small Molecule Transport,In RP
ACCN5,Small Molecule Transport,In RP
ANKH,Small Molecule Transport,In RP
AQP1,Small Molecule Transport,In RP
AQP10,Small Molecule Transport,In RP
AQP11,Small Molecule Transport,In RP
AQP12A,Small Molecule Transport,In RP
AQP12B,Small Molecule Transport,In RP
AQP2,Small Molecule Transport,In RP
AQP3,Small Molecule Transport,In RP
AQP4,Small Molecule Transport,In RP
AQP5,Small Molecule Transport,In RP
AQP6,Small Molecule Transport,In RP
AQP7,Small Molecule Transport,In RP
AQP8,Small Molecule Transport,In RP
AQP9,Small Molecule Transport,In RP
ASNA1,Small Molecule Transport,In RP
ATP10A,Small Molecule Transport,In RP
ATP10B,Small Molecule Transport,In RP
ATP10D,Small Molecule Transport,In RP
ATP8,Small Molecule Transport,In RP
ATP8A1,Small Molecule Transport,In RP
ATP8A2,Small Molecule Transport,In RP
ATP8B1,Small Molecule Transport,In RP
ATP8B2,Small Molecule Transport,In RP
ATP8B3,Small Molecule Transport,In RP
ATP8B4,Small Molecule Transport,In RP
ATP9A,Small Molecule Transport,In RP
ATP9B,Small Molecule Transport,In RP
FOLR1,Small Molecule Transport,In RP
FOLR2,Small Molecule Transport,In RP
FOLR3,Small Molecule Transport,In RP
SLC10A1,Small Molecule Transport,In RP
SLC10A2,Small Molecule Transport,In RP
SLC10A3,Small Molecule Transport,In RP
SLC10A4,Small Molecule Transport,In RP
SLC10A5,Small Molecule Transport,In RP
SLC10A6,Small Molecule Transport,In RP
SLC10A7,Small Molecule Transport,In RP
SLC14A1,Small Molecule Transport,In RP
SLC14A2,Small Molecule Transport,In RP
SLC15A1,Small Molecule Transport,In RP
SLC15A2,Small Molecule Transport,In RP
SLC15A3,Small Molecule Transport,In RP
SLC15A4,Small Molecule Transport,In RP
SLC16A1,Small Molecule Transport,In RP
SLC16A10,Small Molecule Transport,In RP
SLC16A11,Small Molecule Transport,In RP
SLC16A12,Small Molecule Transport,In RP
SLC16A13,Small Molecule Transport,In RP
SLC16A14,Small Molecule Transport,In RP
SLC16A2,Small Molecule Transport,In RP
SLC16A3,Small Molecule Transport,In RP
SLC16A4,Small Molecule Transport,In RP
SLC16A5,Small Molecule Transport,In RP
SLC16A6,Small Molecule Transport,In RP
SLC16A7,Small Molecule Transport,In RP
SLC16A8,Small Molecule Transport,In RP
SLC16A9,Small Molecule Transport,In RP
SLC17A1,Small Molecule Transport,In RP
SLC17A2,Small Molecule Transport,In RP
SLC17A3,Small Molecule Transport,In RP
SLC17A4,Small Molecule Transport,In RP
SLC17A5,Small Molecule Transport,In RP
SLC17A6,Small Molecule Transport,In RP
SLC17A7,Small Molecule Transport,In RP
SLC17A8,Small Molecule Transport,In RP
SLC18A1,Small Molecule Transport,In RP
SLC18A2,Small Molecule Transport,In RP
SLC18A3,Small Molecule Transport,In RP
SLC19A1,Small Molecule Transport,In RP
SLC19A2,Small Molecule Transport,In RP
SLC19A3,Small Molecule Transport,In RP
SLC1A1,Small Molecule Transport,In RP
SLC1A2,Small Molecule Transport,In RP
SLC1A3,Small Molecule Transport,In RP
SLC1A4,Small Molecule Transport,In RP
SLC1A5,Small Molecule Transport,In RP
SLC1A6,Small Molecule Transport,In RP
SLC1A7,Small Molecule Transport,In RP
SLC20A1,Small Molecule Transport,In RP
SLC20A2,Small Molecule Transport,In RP
SLC22A1,Small Molecule Transport,In RP
SLC22A11,Small Molecule Transport,In RP
SLC22A12,Small Molecule Transport,In RP
SLC22A13,Small Molecule Transport,In RP
SLC22A14,Small Molecule Transport,In RP
SLC22A15,Small Molecule Transport,In RP
SLC22A16,Small Molecule Transport,In RP
SLC22A17,Small Molecule Transport,In RP
SLC22A18,Small Molecule Transport,In RP
SLC22A18AS,Small Molecule Transport,In RP
SLC22A2,Small Molecule Transport,In RP
SLC22A20,Small Molecule Transport,In RP
SLC22A23,Small Molecule Transport,In RP
SLC22A3,Small Molecule Transport,In RP
SLC22A4,Small Molecule Transport,In RP
SLC22A5,Small Molecule Transport,In RP
SLC22A6,Small Molecule Transport,In RP
SLC22A7,Small Molecule Transport,In RP
SLC22A8,Small Molecule Transport,In RP
SLC22A9,Small Molecule Transport,In RP
SLC23A1,Small Molecule Transport,In RP
SLC23A2,Small Molecule Transport,In RP
SLC23A3,Small Molecule Transport,In RP
SLC25A1,Small Molecule Transport,In RP
SLC25A10,Small Molecule Transport,In RP
SLC25A11,Small Molecule Transport,In RP
SLC25A12,Small Molecule Transport,In RP
SLC25A13,Small Molecule Transport,In RP
SLC25A14,Small Molecule Transport,In RP
SLC25A15,Small Molecule Transport,In RP
SLC25A16,Small Molecule Transport,In RP
SLC25A17,Small Molecule Transport,In RP
SLC25A18,Small Molecule Transport,In RP
SLC25A19,Small Molecule Transport,In RP
SLC25A2,Small Molecule Transport,In RP
SLC25A20,Small Molecule Transport,In RP
SLC25A21,Small Molecule Transport,In RP
SLC25A22,Small Molecule Transport,In RP
SLC25A23,Small Molecule Transport,In RP
SLC25A24,Small Molecule Transport,In RP
SLC25A26,Small Molecule Transport,In RP
SLC25A27,Small Molecule Transport,In RP
SLC25A28,Small Molecule Transport,In RP
SLC25A29,Small Molecule Transport,In RP
SLC25A3,Small Molecule Transport,In RP
SLC25A30,Small Molecule Transport,In RP
SLC25A31,Small Molecule Transport,In RP
SLC25A32,Small Molecule Transport,In RP
SLC25A33,Small Molecule Transport,In RP
SLC25A34,Small Molecule Transport,In RP
SLC25A35,Small Molecule Transport,In RP
SLC25A36,Small Molecule Transport,In RP
SLC25A37,Small Molecule Transport,In RP
SLC25A38,Small Molecule Transport,In RP
SLC25A39,Small Molecule Transport,In RP
SLC25A4,Small Molecule Transport,In RP
SLC25A40,Small Molecule Transport,In RP
SLC25A41,Small Molecule Transport,In RP
SLC25A42,Small Molecule Transport,In RP
SLC25A43,Small Molecule Transport,In RP
SLC25A44,Small Molecule Transport,In RP
SLC25A45,Small Molecule Transport,In RP
SLC25A46,Small Molecule Transport,In RP
SLC25A5,Small Molecule Transport,In RP
SLC25A6,Small Molecule Transport,In RP
SLC26A1,Small Molecule Transport,In RP
SLC26A10,Small Molecule Transport,In RP
SLC26A11,Small Molecule Transport,In RP
SLC26A2,Small Molecule Transport,In RP
SLC26A3,Small Molecule Transport,In RP
SLC26A4,Small Molecule Transport,In RP
SLC26A5,Small Molecule Transport,In RP
SLC26A6,Small Molecule Transport,In RP
SLC26A7,Small Molecule Transport,In RP
SLC26A8,Small Molecule Transport,In RP
SLC26A9,Small Molecule Transport,In RP
SLC27A1,Small Molecule Transport,In RP
SLC27A2,Small Molecule Transport,In RP
SLC27A3,Small Molecule Transport,In RP
SLC27A4,Small Molecule Transport,In RP
SLC27A5,Small Molecule Transport,In RP
SLC27A6,Small Molecule Transport,In RP
SLC28A1,Small Molecule Transport,In RP
SLC28A2,Small Molecule Transport,In RP
SLC28A3,Small Molecule Transport,In RP
SLC29A1,Small Molecule Transport,In RP
SLC29A2,Small Molecule Transport,In RP
SLC29A3,Small Molecule Transport,In RP
SLC29A4,Small Molecule Transport,In RP
SLC2A1,Small Molecule Transport,In RP
SLC2A10,Small Molecule Transport,In RP
SLC2A11,Small Molecule Transport,In RP
SLC2A12,Small Molecule Transport,In RP
SLC2A13,Small Molecule Transport,In RP
SLC2A14,Small Molecule Transport,In RP
SLC2A2,Small Molecule Transport,In RP
SLC2A3,Small Molecule Transport,In RP
SLC2A4,Small Molecule Transport,In RP
SLC2A5,Small Molecule Transport,In RP
SLC2A6,Small Molecule Transport,In RP
SLC2A7,Small Molecule Transport,In RP
SLC2A8,Small Molecule Transport,In RP
SLC2A9,Small Molecule Transport,In RP
SLC32A1,Small Molecule Transport,In RP
SLC33A1,Small Molecule Transport,In RP
SLC34A1,Small Molecule Transport,In RP
SLC34A2,Small Molecule Transport,In RP
SLC34A3,Small Molecule Transport,In RP
SLC35A1,Small Molecule Transport,In RP
SLC35A2,Small Molecule Transport,In RP
SLC35A3,Small Molecule Transport,In RP
SLC35A4,Small Molecule Transport,In RP
SLC35A5,Small Molecule Transport,In RP
SLC35B1,Small Molecule Transport,In RP
SLC35B2,Small Molecule Transport,In RP
SLC35B3,Small Molecule Transport,In RP
SLC35B4,Small Molecule Transport,In RP
SLC35C1,Small Molecule Transport,In RP
SLC35C2,Small Molecule Transport,In RP
SLC35D1,Small Molecule Transport,In RP
SLC35D2,Small Molecule Transport,In RP
SLC35D3,Small Molecule Transport,In RP
SLC35E1,Small Molecule Transport,In RP
SLC35E2,Small Molecule Transport,In RP
SLC35E3,Small Molecule Transport,In RP
SLC35E4,Small Molecule Transport,In RP
SLC35F1,Small Molecule Transport,In RP
SLC35F2,Small Molecule Transport,In RP
SLC35F3,Small Molecule Transport,In RP
SLC35F4,Small Molecule Transport,In RP
SLC35F5,Small Molecule Transport,In RP
SLC36A1,Small Molecule Transport,In RP
SLC36A2,Small Molecule Transport,In RP
SLC36A3,Small Molecule Transport,In RP
SLC36A4,Small Molecule Transport,In RP
SLC37A1,Small Molecule Transport,In RP
SLC37A2,Small Molecule Transport,In RP
SLC37A3,Small Molecule Transport,In RP
SLC37A4,Small Molecule Transport,In RP
SLC38A1,Small Molecule Transport,In RP
SLC38A2,Small Molecule Transport,In RP
SLC38A3,Small Molecule Transport,In RP
SLC38A4,Small Molecule Transport,In RP
SLC38A5,Small Molecule Transport,In RP
SLC38A6,Small Molecule Transport,In RP
SLC38A7,Small Molecule Transport,In RP
SLC43A1,Small Molecule Transport,In RP
SLC43A2,Small Molecule Transport,In RP
SLC43A3,Small Molecule Transport,In RP
SLC44A1,Small Molecule Transport,In RP
SLC44A2,Small Molecule Transport,In RP
SLC44A3,Small Molecule Transport,In RP
SLC44A4,Small Molecule Transport,In RP
SLC44A5,Small Molecule Transport,In RP
SLC45A1,Small Molecule Transport,In RP
SLC45A2,Small Molecule Transport,In RP
SLC45A3,Small Molecule Transport,In RP
SLC45A4,Small Molecule Transport,In RP
SLC46A1,Small Molecule Transport,In RP
SLC46A2,Small Molecule Transport,In RP
SLC46A3,Small Molecule Transport,In RP
SLC47A1,Small Molecule Transport,In RP
SLC47A2,Small Molecule Transport,In RP
SLC4A1,Small Molecule Transport,In RP
SLC4A10,Small Molecule Transport,In RP
SLC4A11,Small Molecule Transport,In RP
SLC4A1AP,Small Molecule Transport,In RP
SLC4A2,Small Molecule Transport,In RP
SLC4A3,Small Molecule Transport,In RP
SLC4A4,Small Molecule Transport,In RP
SLC4A5,Small Molecule Transport,In RP
SLC4A7,Small Molecule Transport,In RP
SLC4A8,Small Molecule Transport,In RP
SLC4A9,Small Molecule Transport,In RP
SLC5A1,Small Molecule Transport,In RP
SLC5A10,Small Molecule Transport,In RP
SLC5A11,Small Molecule Transport,In RP
SLC5A12,Small Molecule Transport,In RP
SLC5A2,Small Molecule Transport,In RP
SLC5A3,Small Molecule Transport,In RP
SLC5A4,Small Molecule Transport,In RP
SLC5A5,Small Molecule Transport,In RP
SLC5A6,Small Molecule Transport,In RP
SLC5A7,Small Molecule Transport,In RP
SLC5A8,Small Molecule Transport,In RP
SLC5A9,Small Molecule Transport,In RP
SLC6A1,Small Molecule Transport,In RP
SLC6A11,Small Molecule Transport,In RP
